21 21
big_peace_entities.csv
41,41,41,41,41,41,34,20,20,20,20,20,34,41,41,41,41,41,41,41,41
41,41,41,41,41,41,34,20,20,20,20,20,34,41,41,41,41,41,41,41,41
41,41,41,41,41,34,34,19,19,19,19,19,34,34,34,34,41,41,41,41,41
41,41,41,41,34,34,19,19,19,19,19,19,19,19,19,19,34,41,41,41,41
41,41,34,34,19,19,19,19,19,19,19,19,19,19,19,19,19,34,41,41,41
41,34,19,19,19,19,19,19,19,0,1,19,19,19,19,19,19,19,34,34,34
41,34,19,19,19,19,19,19,19,1,1,40,19,19,19,19,19,19,19,20,20
41,34,19,19,19,19,19,40,40,1,1,40,40,19,19,19,19,19,19,19,20
34,34,19,19,19,19,40,0,0,1,0,0,0,40,40,19,19,19,19,19,20
19,19,19,19,19,40,40,0,0,0,0,0,0,0,0,40,19,19,19,19,20
19,19,19,19,19,40,0,0,0,0,0,0,0,0,1,1,1,19,19,19,20
19,19,19,19,1,1,0,0,0,0,0,0,0,0,0,1,1,19,19,19,34
34,19,19,19,1,1,1,1,0,0,0,0,0,0,1,40,19,19,19,34,34
34,19,19,19,19,40,0,0,0,0,0,0,0,0,40,40,19,19,19,34,41
34,19,19,19,19,40,40,0,0,0,0,0,0,0,40,19,19,19,19,34,41
34,34,19,19,19,34,40,40,0,1,0,0,0,0,40,19,19,19,19,34,41
41,34,19,19,19,34,40,40,40,1,1,0,0,40,19,19,19,19,19,34,41
41,34,19,19,19,19,19,19,19,1,1,40,40,19,19,19,19,19,34,41,41
41,34,19,19,19,19,19,19,19,0,1,19,19,19,19,19,19,19,34,41,41
41,34,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,34,41,41,41
41,34,34,34,34,34,19,19,19,19,19,19,19,19,19,19,19,34,41,41,41
