20 20
dungeon_big_entities.csv
16,16,16,16,16,16,16,16,16,16,16,16,16,16,7,7,7,16,16,16
33,3,3,3,7,7,3,3,3,7,31,7,7,7,7,7,7,7,7,7
33,7,7,3,3,3,3,3,3,7,31,7,7,7,3,3,7,7,7,7
33,31,31,7,7,31,31,31,31,31,31,7,3,3,3,3,7,7,3,7
33,7,7,7,7,7,3,3,3,7,7,7,7,7,7,3,7,3,3,7
7,7,3,7,3,7,7,7,3,7,7,7,7,7,7,3,3,3,7,7
7,7,3,3,3,7,16,16,16,16,16,17,7,7,3,7,3,3,3,7
7,7,3,7,7,7,31,7,7,7,7,31,7,3,7,7,7,3,3,7
33,7,7,7,7,7,31,7,3,3,3,3,7,3,3,3,7,7,3,7
33,7,7,7,7,7,31,3,3,3,3,3,3,3,7,3,3,7,3,7
33,7,7,3,3,7,31,3,3,3,7,31,3,7,3,7,7,7,3,7
33,7,3,3,7,7,31,3,3,3,7,31,7,7,7,7,7,3,7,7
33,7,3,7,3,3,7,3,3,3,7,31,7,7,31,31,31,31,31,31
33,7,7,3,3,7,7,3,3,7,7,31,3,3,31,7,7,7,3,7
33,31,7,7,31,31,31,31,31,31,31,3,3,3,31,7,3,3,3,7
33,3,7,7,7,7,7,31,3,3,7,7,3,7,31,7,3,7,3,3
33,3,3,7,3,3,7,31,3,3,3,3,3,7,31,3,3,3,3,7
33,3,3,3,3,3,3,31,3,3,3,3,3,7,31,7,3,3,3,3
33,3,3,7,3,3,3,31,3,7,7,7,7,3,7,7,3,3,7,3
33,31,31,31,3,3,31,31,31,31,31,31,31,3,3,7,7,3,3,7
