52,16,1
52,43,1
52,34,1
52,24,1
52,19,2
52,12,2
52,10,2
52,3,2
52,30,2
52,29,2
52,2,3
52,37,3
52,45,3
52,46,3
52,41,3
53,7,4
52,1,4
52,30,4
52,24,4
52,25,4
52,21,5
52,4,6
52,47,6
52,34,6
52,18,7
52,25,7
52,46,7
52,22,9
4,20,9
4,19,9
0,26,11
52,3,11
52,43,12
52,44,12
5,9,12
52,7,13
52,39,13
52,19,14
52,47,14
52,35,14
4,18,14
4,16,14
4,13,14
4,12,14
4,24,14
4,30,14
4,32,14
52,33,15
52,44,16
52,38,16
5,23,17
5,30,17
5,23,28
5,30,28
52,18,28
52,46,28
52,14,29
52,20,29
3,21,29
52,38,30
52,42,30
52,5,30
4,36,30
61,19,31
61,33,31
3,32,31
3,30,31
4,22,31
52,12,32
52,47,32
3,31,32
53,36,33
52,3,33
3,30,33
3,31,33
3,31,34
3,33,34
5,17,34
4,24,35
53,8,36
4,35,37
52,31,38
52,5,38
52,22,38
3,19,40
3,20,40
3,21,40
3,43,41
3,44,41
3,45,41
3,20,41
3,19,41
3,18,41
52,3,42
3,45,42
3,44,42
52,32,43
52,48,43
3,44,43
3,43,43
5,39,44
52,7,45
52,15,45
52,23,45
52,24,45
52,30,46
52,36,46
52,42,46
52,43,46
