13 13
t_r1_entities.csv
41,41,41,41,31,19,19,19,31,41,41,41,41
41,41,41,41,31,19,19,19,31,41,41,41,41
41,41,31,31,31,31,19,31,31,31,31,41,41
41,41,31,19,19,19,19,19,19,19,31,41,41
31,31,31,19,19,19,19,19,19,19,31,31,31
19,19,31,19,19,19,19,19,19,19,31,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,31,19,19,19,19,19,19,19,31,19,19
31,31,31,19,19,19,19,19,19,19,31,31,31
41,41,31,19,19,19,19,19,19,19,31,41,41
41,41,31,31,31,31,19,31,31,31,31,41,41
41,41,41,41,31,19,19,19,31,41,41,41,41
41,41,41,41,31,19,19,19,31,41,41,41,41
