15 15
d_room_15x15_left_entities.csv
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
31,7,7,7,7,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,7,7,7,7,31
7,7,7,7,7,7,7,7,7,7,7,7,7,7,31
7,7,7,7,7,7,7,7,7,7,7,7,7,7,31
7,7,7,7,7,7,7,7,7,7,7,7,7,7,31
7,7,7,7,7,7,7,7,7,7,7,7,7,7,31
7,7,7,7,7,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,7,7,7,7,31
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
