11 21
d_room_11x21_all_entities.csv
31,31,7,7,7,7,7,7,7,31,31
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
31,7,7,7,7,7,7,7,7,7,31
31,31,31,7,7,7,7,7,31,31,31
