52,19,2
52,18,2
52,17,2
52,16,2
52,15,2
52,14,2
52,13,2
52,6,2
52,7,2
52,8,2
52,22,3
52,23,3
52,24,3
52,25,3
52,26,3
52,27,3
52,9,3
52,10,3
53,36,4
52,19,4
52,20,4
52,21,4
52,15,4
52,16,4
52,6,4
52,5,4
52,4,4
52,3,4
52,2,4
52,8,4
52,14,5
52,13,5
52,1,5
52,7,5
52,20,6
52,19,6
52,18,6
52,17,6
52,16,6
52,15,6
52,6,6
52,5,6
52,4,6
53,5,11
25,38,11
24,39,11
52,35,14
52,34,14
52,42,14
52,36,15
52,37,15
52,38,15
52,39,15
52,40,15
52,41,15
52,43,15
52,44,15
52,35,16
52,34,16
52,33,16
52,32,16
52,38,17
52,39,17
52,40,17
3,23,17
3,31,17
52,33,18
52,34,18
52,35,18
52,36,18
52,37,18
52,41,18
52,42,18
20,12,18
5,7,19
19,11,19
31,26,20
3,20,21
0,22,22
3,31,22
3,14,22
52,4,23
3,24,23
53,33,24
52,5,24
52,6,24
52,7,24
52,8,24
52,9,24
52,10,24
52,11,24
52,12,24
52,13,25
52,14,25
52,15,25
52,4,26
52,10,26
52,9,26
52,8,26
52,7,26
52,6,26
52,12,26
52,5,27
52,8,28
52,7,28
52,3,28
52,4,28
52,9,28
52,10,28
52,11,28
52,12,28
52,13,28
52,6,29
52,5,29
52,4,30
52,7,30
52,3,30
52,10,30
52,9,30
5,25,30
5,31,30
52,2,31
52,8,31
5,12,31
52,1,32
52,4,32
52,5,32
52,21,33
52,23,33
52,24,33
52,25,33
52,8,33
52,7,33
52,3,33
3,11,33
52,22,34
52,20,34
52,19,34
52,18,34
52,26,34
52,28,34
52,29,34
52,4,34
52,21,35
52,27,35
52,25,35
52,30,35
52,31,35
52,32,35
52,33,35
52,7,35
52,6,35
3,10,35
52,20,36
52,29,36
52,5,36
52,4,36
52,19,37
52,28,37
52,27,37
52,26,37
52,25,37
52,36,37
52,37,37
52,38,37
52,42,37
52,43,37
52,44,37
52,45,37
52,46,37
52,47,37
52,48,37
52,49,37
52,3,37
4,22,37
52,6,38
52,5,38
52,9,38
52,10,38
52,39,38
52,40,38
52,41,38
52,30,38
52,31,38
52,32,38
52,33,38
52,34,38
52,35,38
52,7,39
52,8,39
52,29,39
52,37,39
52,43,39
52,42,39
52,3,39
3,22,39
52,6,40
52,5,40
52,4,40
52,33,40
52,34,40
52,35,40
52,36,40
52,44,40
52,45,40
52,39,40
52,38,40
52,32,40
52,31,40
52,30,40
52,46,40
52,47,40
52,48,40
52,3,41
52,37,41
52,40,41
52,41,41
52,42,41
52,43,41
3,26,41
52,4,42
52,5,42
52,36,42
52,31,42
52,32,42
52,33,42
52,38,42
52,39,42
52,3,43
4,23,43
4,27,43
3,8,43
6,20,43
12,28,43
