30 20
d_lvl1_r1_entities.csv
10,10,10,10,3,3,3,3,3,10,10,10,10,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
10,3,3,3,3,3,3,3,3,3,3,3,10,10,10,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
10,3,3,3,3,3,3,3,3,3,3,3,3,3,10,41,41,41,41,41,10,10,10,10,10,10,10,10,10,41
10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,3,3,3,3,3,3,3,3,10,41
10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,41
10,10,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,41
41,41,41,41,41,41,41,41,41,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,41
41,41,41,41,41,41,41,41,41,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,41
41,41,41,41,41,41,41,41,41,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,41
41,41,41,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,41,41
41,41,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,41,41
41,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,41,41
10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,41,41
10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,41,41
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,3,3,3,3,3,3,3,3,3,10,41,41
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,3,3,3,3,3,3,3,10,41,41
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,41,41,10,10,3,3,3,3,3,3,10,41,41
10,3,3,3,3,3,3,3,3,3,3,3,3,10,10,41,41,41,41,41,10,10,3,3,3,3,3,10,41,41
10,3,3,3,3,3,3,3,3,3,3,10,10,10,41,41,41,41,41,41,41,10,3,3,3,3,3,10,41,41
10,10,10,10,10,10,10,10,10,10,10,10,41,41,41,41,41,41,41,41,41,10,3,3,3,3,3,10,41,41
